County Name,Population Density 1900,Population Density 1910,Population Density 1920,Population Density 1930,Population Density 1940,Population Density 1950,Population Density 1960,Population Density 1970,Population Density 1980,Population Density 1990,Population Density 2000,Population Density 2010
Adams,2.51,5.67,5,4.01,3.23,3.42,5.16,6.24,6.89,7.07,8.53,9.73
Asotin,5.29,9.17,10.28,12.79,13.15,17.11,20.3,21.7,26.46,27.69,32.35,33.99
Benton,,4.66,6.4,6.43,7.08,30.16,36.45,39.66,64.26,66.09,83.66,103.02
Chelan,1.35,5.17,7.16,10.83,11.78,13.45,13.95,14.15,15.42,17.88,22.8,24.81
Clallam,3.21,3.87,6.51,11.72,12.52,15.12,17.2,19.92,29.59,32.2,36.9,41.08
Clark,21.37,41.59,52.25,64.21,79.39,135.86,149.4,204.58,306.14,379.13,549.55,676.25
Columbia,8.2,8.11,7.01,6.13,6.39,5.59,5.26,5.11,4.67,4.63,4.68,4.69
Cowlitz,6.92,11.03,10.35,28.02,35.26,46.87,50.76,60.26,69.86,72.12,81.63,89.82
Douglas,1.1,5.07,5.16,4.15,4.75,5.94,8.18,9.22,12.16,14.39,17.91,21.12
Ferry,2.07,2.18,2.33,1.95,2.13,1.86,1.76,1.66,2.64,2.86,3.29,3.43
Franklin,0.39,4.15,4.73,4.94,5.08,10.92,18.79,20.78,28.2,30.17,39.72,62.92
Garfield,5.51,5.91,5.45,5.15,4.76,4.51,4.19,4.1,3.47,3.16,3.37,3.19
Grant,,3.25,2.9,2.12,5.48,9.1,17.37,15.65,18.13,20.47,27.86,33.26
Grays Harbor,7.89,18.56,23.34,31.28,27.73,27.98,28.41,31.06,34.59,33.47,35.05,38.27
Island,8.96,22.55,26.31,25.74,29.23,53.11,94.14,129.49,211.16,288.57,343.32,376.62
Jefferson,3.16,4.61,3.63,4.61,4.93,6.42,5.33,5.89,8.83,11.28,14.5,16.56
King,51.76,133.88,183.09,218.01,237.51,344.76,439.78,544.02,597.29,708.95,817.03,912.87
Kitsap,17.09,44.56,83.74,77.72,112.09,191.22,212.57,256.9,371.6,479.12,585.82,635.88
Kittitas,4.23,8.08,7.72,7.9,8.81,9.68,8.91,10.9,10.83,11.64,14.52,17.81
Klickitat,2.88,5.44,4.95,5.25,6.07,6.43,7.19,6.48,8.45,8.87,10.23,10.86
Lewis,6.29,13.34,15.3,16.63,17.19,18.17,17.38,18.88,23.27,24.65,28.49,31.4
Lincoln,5.18,7.59,6.55,5.14,4.92,4.75,4.72,4.14,4.16,3.84,4.41,4.57
Mason,3.96,5.36,5.12,10.47,12.07,15.63,16.91,21.76,32.45,39.89,51.41,63.27
Okanogan,0.89,2.45,3.24,3.52,4.66,5.53,4.84,4.91,5.82,6.33,7.51,7.81
Pacific,6.14,12.86,15.28,15.36,16.34,16.99,15.06,16.21,17.69,19.37,22.49,22.43
Pend Oreille,,,4.54,5.11,5.11,5.29,4.94,4.3,6.13,6.37,8.38,9.29
Pierce,33.13,72.11,86.02,97.79,108.67,164.65,191.94,245.32,289.86,349.87,417.42,476.32
San Juan,16.74,20.6,20.61,17.71,18.05,18.55,16.42,22.05,44.81,57.38,80.48,90.67
Skagit,8.22,16.85,19.23,20.25,21.7,24.94,29.59,30.19,36.96,45.84,59.35,67.53
Skamania,1.02,1.74,1.42,1.75,2.8,2.89,3.14,3.53,4.78,5,5.96,6.68
Snohomish,11.46,28.33,32.38,37.73,42.46,53.38,82.38,126.9,161.57,222.77,290.09,341.76
Spokane,32.62,79.04,80.1,85.31,93.35,125.62,157.8,162.99,193.81,204.86,236.98,267.16
Stevens,2.72,6.52,8.72,7.48,7.78,7.5,7.22,7.02,11.69,12.49,16.17,17.57
Thurston,13.65,24.18,30.76,43.12,51.28,61.73,75.71,105.75,170.9,221.75,285.21,349.42
Wahkiakum,10.67,12.43,13.14,14.61,16.22,14.51,12.96,13.59,14.5,12.59,14.47,15.1
Walla Walla,14.7,25.13,21.68,22.39,24.04,31.59,33.21,33.2,37.34,38.13,43.43,46.28
Whatcom,11.37,23.35,23.87,27.89,28.47,31.48,33.17,38.65,50.33,60.27,78.71,95.47
Whitman,11.74,15.41,14.51,12.97,12.61,15.04,14.48,17.55,18.57,17.96,18.87,20.74
Yakima,2.38,9.71,14.83,18.02,23.05,31.59,33.78,33.8,40.15,43.95,51.81,56.63
